cell_id,min,max,std,z_range
aafppgjf-1,13.997599,20.534094,1.1149145137213838,6.536495
aagailgp-1,14.486701,20.911913,1.2706690414956696,6.425211999999998
aagchaec-1,12.219658,22.339933,1.6249553550117872,10.120274999999998
aagiahao-1,14.276874,21.125446,1.1529375945614395,6.848572000000001
aagoldfd-1,13.980268,20.03625,1.2267612961417123,6.055981999999998
aahbcdjm-1,13.841217,21.829586,1.5552386965450802,7.988368999999999
aahcjicd-1,14.636304,20.568735,1.320347490096344,5.932430999999999
aahejpof-1,14.28635,24.119967,1.4611543737195387,9.833616999999998
aahfhoea-1,14.733462,20.677486,1.2942243539469591,5.944023999999999
aahgflkn-1,14.452044,20.01093,1.3265772137917475,5.5588859999999976
aahkhcod-1,13.841777,21.106476,1.7013622657268386,7.264699
aahlcfme-1,14.865083,20.696335,1.36196017147764,5.831252000000001
aahlelic-1,14.804991,22.050322,1.4430277541302654,7.245331000000002
aahlgmip-1,14.508573,20.980417,1.482185536411998,6.471843999999999
aahlpnha-1,15.630102,22.07891,1.772547522218963,6.448808
aahocfdj-1,15.142507,21.08511,1.1425961916368435,5.942603
aahpjlch-1,14.152835,20.818014,1.1267797591844797,6.665179000000002
aahplkne-1,14.12927,21.21638,1.5096346358614159,7.087110000000001
aaidacmm-1,12.273334,19.842142,1.206983438765768,7.568807999999999
aaifhfmn-1,14.349881,19.14607,1.0363367561266212,4.796189000000002
aaijgmog-1,15.948608,20.430105,1.2354344442859964,4.481497000000001
aaiknkii-1,14.088106,20.417269,1.2758830698189985,6.329163000000001
aaipblao-1,15.203047,19.677313,1.058909489424103,4.474266000000002
aajcddji-1,14.490845,21.534323,1.559418117723581,7.043478
aajcglmj-1,14.676817,21.599623,1.1722730130178773,6.922806000000001
aajnhibg-1,14.212977,20.281569,1.3350656225648372,6.068592000000001
aajniaaa-1,14.278976,27.268608,1.6381421347778913,12.989632
aajpghoi-1,11.920414,19.811827,1.242778258461072,7.891413000000002
aakcopdk-1,14.2642975,18.384592,1.0365366747267777,4.120294500000002
aakdghob-1,13.880396,22.090807,1.199520172830167,8.210411000000002
aakedbmh-1,14.2795725,20.321098,0.9588804333132049,6.041525499999999
aakhlecj-1,14.080077,19.53791,0.9545242784207493,5.457833000000001
aaknoimb-1,14.49935,18.531729,0.9557823723781901,4.032378999999999
aakommkk-1,14.255056,18.332535,1.0735666106294575,4.077479
aalahbba-1,14.769905,21.633827,1.2487402841189745,6.8639220000000005
aalbedgp-1,13.789666,20.581049,1.192431464119994,6.791383
aaljknhe-1,14.328569,19.793625,0.9576361252778458,5.465055999999999
aalnaedm-1,13.603674,19.489704,1.0208407258630365,5.88603
aalniaka-1,13.651085,19.322952,1.1852860966167729,5.671867000000001
aalpffoc-1,14.369113,20.496407,0.997517739190054,6.127294000000001
aamdnpbm-1,14.356577,23.181116,1.3737028584576054,8.824539
aamepnkg-1,14.292605,20.520084,1.36775661267436,6.227479000000001
aamhkefh-1,13.476086,20.025175,1.1803787666662953,6.549089
aamngpib-1,14.101528,18.677254,1.0915348313161508,4.575726000000001
aamnimfl-1,13.532574,18.904867,1.0577527639278237,5.372292999999999
aanbafcd-1,13.640952,18.171047,0.9351323292447143,4.530095000000001
aanejkep-1,14.444416,19.835236,1.3679180861350801,5.390819999999998
aanjmpfi-1,14.456436,19.323185,1.3244874545549434,4.866748999999999
aanmhijc-1,14.141307,22.463205,1.2842711045991713,8.321898
aanohbod-1,14.3354,19.490416,1.1965047390346872,5.155016
aaoageoc-1,13.577648,17.142345,0.9987393191251717,3.564696999999999
aaocidol-1,14.3594055,18.627829,0.9069600372743531,4.268423499999999
aaodlolk-1,14.274654,19.881504,1.210093700580164,5.60685
aaoedncm-1,13.823845,18.823261,1.1603069713181602,4.999415999999998
aaohhngj-1,13.698773,21.354265,1.9106622652225749,7.655492000000002
aaojjkfj-1,14.283735,20.951542,1.0340736756391675,6.667807
aaopeabg-1,14.338313,22.851944,1.3091001765069863,8.513631
aapakkbh-1,13.232072,19.590008,1.3763307866248806,6.3579360000000005
aapbmgom-1,13.830971,19.041233,1.1813885033359814,5.210261999999998
aapcedea-1,13.827351,19.35022,1.276615659911823,5.522869
aapdghal-1,13.658286,20.077776,1.3695320270020956,6.41949
aapdnocp-1,14.657146,21.086874,1.6259673309448517,6.4297280000000026
aapedilh-1,14.365428,18.426075,1.0679828153472761,4.060647000000001
aapghmhg-1,11.85289,21.507181,1.490351910655671,9.654290999999999
aapjdbnj-1,15.128349,20.345037,1.1905448049033052,5.216688000000001
aapkmdeh-1,14.872812,19.602928,1.006028617613613,4.730115999999999
aaplgfih-1,14.911644,19.529455,1.1278016304979228,4.617810999999998
abadjbad-1,14.836783,18.796738,0.9376998291311145,3.959955000000001
abaejhki-1,14.679143,19.217014,0.9806222815177273,4.537870999999999
abageeli-1,15.064636,19.219135,1.0464062349024206,4.154499000000001
abagphoj-1,14.517472,18.724934,1.0430762223231722,4.207462000000001
abahdmad-1,14.630453,20.272345,1.3786792740699285,5.641892000000002
abaidnhl-1,14.6019745,19.600365,1.0030581481279002,4.998390499999999
abalhlak-1,14.517921,19.52527,1.1849266269656575,5.007349
abammbgd-1,14.778601,21.14003,1.2519891533613445,6.361428999999999
abamoeif-1,14.437573,19.94333,1.4109570675374383,5.505756999999999
abancdoa-1,14.628822,18.070585,0.950138087594032,3.4417630000000017
