cell_id,min,max,std,z_range
-1,4.9034786,34.6169,4.551512718377755,29.7134214
1,9.587141,17.004375,1.4846734456563555,7.417233999999999
2,8.719413,17.152952,1.6742171427820554,8.433539
3,11.49664,16.868967,1.489853714636729,5.372327000000002
4,11.105541,16.60396,1.5642334227827464,5.498419
5,11.184417,17.022802,1.4441089031187968,5.838384999999999
6,11.564333,16.754429,1.4270148594119156,5.190095999999999
7,9.085689,16.643927,1.5187985020402563,7.558238000000001
8,11.273509,17.986279,1.6618215266387069,6.712769999999999
9,11.309547,16.50301,1.298200546764758,5.1934629999999995
10,11.339004,16.814983,1.3160597435461063,5.475979000000002
11,11.531879,16.777502,1.526196114779251,5.245622999999998
12,11.376057,16.741243,1.4476771948814389,5.365186000000001
13,11.696271,16.847895,1.5159395710619228,5.151624000000002
14,11.531081,16.581192,1.2890425842448423,5.050111000000001
15,11.886566,18.103714,1.473314817446812,6.217148
16,11.69511,18.054224,1.4530041284904387,6.359114000000002
17,11.767476,19.219442,1.9936386730974474,7.4519660000000005
18,11.821007,18.133163,1.4714252460808865,6.312156
19,12.740337,16.701466,1.0673330536646162,3.9611289999999997
20,8.031016,17.096144,1.513351484151427,9.065128
21,11.838877,18.247726,1.6692561000213562,6.408849
22,11.691803,17.17512,1.4216076163889453,5.4833169999999996
23,11.04747,17.469025,1.4607614832566371,6.421554999999998
24,10.42661,17.592472,1.4910262735995472,7.165862000000001
25,11.941992,24.33416,2.293156353004592,12.392168
26,11.564522,24.388617,2.911894803242401,12.824095
27,12.023677,23.143847,2.346929301687881,11.120170000000002
28,15.744347,25.043737,2.236444320003873,9.29939
29,11.891365,17.054106,1.4008646578290032,5.1627410000000005
30,11.868727,25.620901,2.8392085692115527,13.752174
31,12.315491,22.132282,1.6201028650024998,9.816791
32,12.511366,23.900194,2.185550698221808,11.388827999999998
33,12.891072,24.353058,2.623511958018304,11.461986000000001
34,12.482313,18.256115,1.5921265316563293,5.773802000000002
35,12.266123,24.053078,2.1080503000067505,11.786954999999999
36,13.66857,23.022194,2.045298924122703,9.353623999999998
37,12.503916,24.441916,5.195305596447316,11.937999999999999
38,12.604124,25.129171,3.1727330099708198,12.525046999999999
39,12.659574,24.04822,2.1404637845767787,11.388646000000001
40,12.760649,24.250738,3.278970979984737,11.490088999999998
41,12.566505,18.079548,1.7041025314633889,5.513043
42,11.344107,23.718977,1.965705002980998,12.37487
43,12.696457,21.1749,2.1071534850510454,8.478443
44,12.732386,22.375874,2.007387895414713,9.643488
45,12.588025,19.491945,1.937147680090561,6.903920000000001
46,13.37827,22.036438,2.0817172895700256,8.658168
47,12.817368,17.534893,1.3972850767648366,4.717525
