feature_name,mean,median,std,count
TGFB1,7.661395725058866,7.073322843522857,4.137561412975901,118
CALCRL,7.661686601816428,6.9588520171616945,4.206433295518218,367
LRRK2,7.6630130167671675,7.14737217517173,4.256342435189755,815
SPI1,7.6726538150507775,7.082407938310958,4.325103155055665,211
EPHA4,7.67647998472516,7.032846792044288,4.16922386143334,4602
BRINP3,7.677973048387804,7.044274383334526,4.304067940615434,1104
CXCR4,7.683703769453285,6.505596409813939,4.334710384046314,122
LHX6,7.683971070638762,6.959299295537082,4.350872714820346,1026
WIF1,7.691177379273483,6.979695999712616,4.459423696224329,2073
SNTB2,7.702113901325519,6.766518379408616,4.366982955239636,1861
S100A4,7.704484660674878,7.336401552182268,4.144880969007804,34
IGFBP3,7.706280952216269,7.196968346753258,4.093378789704358,385
LOX,7.714902501232946,6.508855786286466,4.318386851155562,60
P2RY12,7.718670046480408,7.131782638572318,4.211958618580135,643
RASGRP1,7.723630247248102,7.059911933857363,4.250875407594429,962
KCNAB1,7.731438953651093,7.149078801862481,4.248199852452712,3225
ANK1,7.74291436707771,7.101386397511175,4.288129280557211,451
TRPC5,7.753000105486242,7.363813117179879,4.069441622252031,202
LAMP5,7.7572889655227995,7.074110417289402,4.304141277584514,3000
CCNA1,7.775746541507938,7.211766170373046,4.108804004398952,652
SLIT3,7.779063832188858,7.089375240928816,4.106007019356117,850
RXFP1,7.7855046860681325,7.126834055791784,4.172300664122396,1048
PDGFRA,7.789029842182019,7.171976032307626,4.129421159742414,461
CTSH,7.7934924830347905,7.141868532914859,4.387394371064084,1022
CHODL,7.794276631523569,6.938981252354626,4.308441819356617,39
IFITM3,7.823618928996706,7.26241226630905,4.2551020330791545,1549
NTNG2,7.842607841016321,7.138144863434407,4.5245518688202075,611
SOX2,7.849975632207884,7.323687270573453,4.293917653324702,2615
FILIP1,7.852627565766055,7.272091502966387,4.312978176221177,105
MCTP2,7.8573369730230525,6.978851293691454,4.630007033483857,93
OLIG1,7.8655280083510855,7.200684074207902,4.315558954032798,155
LYPD6,7.872030451143551,7.576509955182221,4.262052927362854,878
SOX9,7.872908986978915,7.393421403314349,4.267176712298511,2416
GPR34,7.874188617935337,7.141022705834072,4.415145683318713,470
GULP1,7.906405269566936,7.324690516087729,4.423270419115102,1601
NES,7.927116019687479,7.243759583040131,4.400036229654957,688
APP,7.928431164840655,7.159958545385564,4.083361349041096,155
RSPO2,7.955181049593294,7.2285949333642705,4.307322140771107,1783
IGFBP4,7.9854460529876246,7.396951445114773,4.293638675318764,882
ANO3,7.987779947885461,7.447433790349783,4.267908511291564,742
CUX2,7.98949354689003,7.412231746341446,4.388883909229206,2162
IPCEF1,7.9910727145052824,7.482117794271146,4.173709985275759,4511
MEIS2,7.996197352459377,7.309949291715546,4.375172551194449,861
C3,8.000616887110473,7.43556265752608,4.3968194739603055,383
NWD2,8.001067197711972,7.155240696673738,4.336940502598531,436
NTNG1,8.007295457241678,7.40817014811436,4.397403866847686,1261
HS3ST2,8.012428788878047,7.604420220226277,3.9483053068656213,750
NGEF,8.042241611140552,7.5033694112244165,4.243639175176945,7101
KCNH5,8.050867562336702,7.455874438940464,4.382013324874637,1039
EFHD1,8.073100249527508,7.657967177334887,4.218794098493837,2788
TSHZ2,8.073936789621214,7.366658635677876,4.3677563757882965,441
MOBP,8.09663342323195,7.444911619463707,4.37674372678375,3521
PCSK1,8.097480367291208,7.585046337031492,4.037923193573485,1328
FCER1G,8.098174919740053,7.581160047014295,4.428775185386974,243
IGFBP5,8.1005140656274,7.439693463426858,4.271207599239271,1185
PRNP,8.100914520556582,7.631102151603363,4.23812929545232,12797
GJA1,8.10223415388973,7.587909829041681,4.325596717174242,9248
ALOX5AP,8.128171246545168,7.593254304364495,4.245737417210762,275
CD74,8.135442678384793,7.936800389147363,4.451152950953122,438
BTBD11,8.135783277889852,7.783835159460382,4.183481131162135,190
PTEN,8.143321523453244,7.592430475537434,4.311113929251746,7741
IGFBP7,8.15076254778409,7.736957258867806,4.29497323541724,3156
FBLN1,8.163827473131185,7.719823421604007,4.302786297916015,434
SLC17A6,8.166153412867924,7.477653249628208,4.3079079513481995,888
CRYM,8.172277947226632,7.611132764986533,4.201147462544301,1251
C1QL3,8.187259811838604,7.66388307338527,4.326550744602781,4928
SV2B,8.200432516122147,7.7579438894013775,4.239504643797913,12851
KLRB1,8.210572169012286,8.341821535696722,4.624369535275216,10
RIT2,8.228300735436145,7.70969056959921,4.284866676637381,563
NR4A2,8.235500142650732,6.764224681482762,4.334999486426668,111
LINGO1,8.246761436369226,7.780784384843484,4.278669587601974,3428
NPTX1,8.261402673122173,7.789617366118531,4.313150998345722,8259
PTPRZ1,8.26243189940706,7.798076674066457,4.314276413989427,5190
CCK,8.263461742581454,7.786352575588005,4.2837152712712605,12512
TRHDE,8.2805719711732,7.723661749094813,4.292713151351569,2048
HTR2A,8.284025166610032,7.730378615617575,4.2703951027087825,2904
RGS10,8.288649877078438,7.48129314123054,4.466025187106632,217
HMOX1,8.318288393451201,7.639904070598616,3.6631738116652923,13
PLCH1,8.321119308362537,7.852926542556051,4.508311155513573,971
TRAC,8.329060263490819,8.4610064096407,3.799778207414786,49
CHI3L1,8.362701834888712,7.500337419530304,4.478700583051614,248
CXCL14,8.386528244146715,7.892288093227405,4.389405373070513,4376
TESPA1,8.416300978870767,7.955025221200289,4.310425726754459,9720
ENC1,8.42454151646249,8.006572029953439,4.2921527523764365,26319
SMYD2,8.42953744964984,8.02754474074742,4.296211728181944,6180
CABP1,8.434792488499228,7.916442196272118,4.433750935584495,11347
RGS4,8.43490796731844,7.9804121323732655,4.29941171588061,17846
CD83,8.441874505332844,8.18533083587848,4.174996427214414,713
