feature_name,mean,median,std,count
CEACAM8,3.0651283747503455,2.5493126251991307,2.037902307779771,19
AHSP,3.0963394327394322,1.7493061654096198,3.035831608173225,11
DNAAF1,3.137149416555485,2.67945929068117,1.886988338342467,436
TCL1A,3.2212472698033525,2.8127434920987184,2.0597364092844272,13
MLPH,3.467326694603704,3.077118403988941,2.08740839005713,8167
HOOK2,3.4928679341158504,3.129236821879145,2.079578961380703,1889
MS4A1,3.5515564098556895,3.4138696253358916,1.7712242318413256,27
MYBPC1,3.566161740698946,3.245401848928258,2.098413389250491,827
HPX,3.5787939670028854,2.9951377030693744,2.3069961574871365,269
ANKRD30A,3.593645432952381,3.126472509844163,2.2290417229170987,22778
ADIPOQ,3.600744456070734,2.7166093841767154,3.124353402258319,24
HDC,3.6039265564520995,3.208867798476626,2.1431811091642703,716
KLRD1,3.6150375778251695,3.409559968063019,1.9242251726002428,110
POLR2J3,3.6165453034353003,3.120884067042775,2.3008949665798735,13934
SERHL2,3.689459441792003,3.383163419174146,2.115711159598498,2870
ABCC11,3.6944301362745873,3.4718199492373225,1.984195041391083,1003
RAPGEF3,3.6963508506459553,3.224471053299713,2.359650357912808,876
ERN1,3.7119101914724872,3.2931185999358785,2.3074410504618954,1535
DERL3,3.741330516616527,3.091137060513967,2.2132806680364867,62
SLC25A37,3.7711044617255207,3.3027302440071606,2.366052233193191,962
ESR1,3.7777724201867153,3.440119429473544,2.087440266653187,15131
SLC4A1,3.7790343974351486,3.172270735989243,2.374853412098283,41
TRAF4,3.797761597922835,3.496973044595141,2.1599383432160333,2180
C6orf132,3.808038806376711,3.423103777670632,2.188730218203143,1428
LAG3,3.89657355328919,3.2538233913890804,2.692732404491944,65
ELF5,3.8994196462743274,3.544570201286196,2.147494525018122,711
SLC5A6,3.9367277957754774,3.551381515058433,2.231345363387245,2722
CYP1A1,3.940020430955179,3.536957199230565,2.8046133636605246,59
LARS,3.9422477075560427,3.451071173958421,2.4114931006254263,4096
RORC,3.955679678070957,3.635575498073585,2.3261620785339923,734
RTKN2,3.961319594029487,3.5031226628565633,2.4703772653746925,396
RUNX1,3.9633616197279995,3.5514070177227217,2.3168899323213124,11617
CSF3,3.967098186551062,3.544496029857531,2.432518551491516,16
KLRC1,3.9758944303217083,3.3051496016024715,2.4152851441620395,117
SLAMF1,3.994169458746033,3.1195459701558486,2.533280437985362,144
CD19,3.9953588908377213,3.4489344322036875,2.266403325580525,18
ZNF562,4.011835932536674,3.611381675437462,2.3504121267335734,2323
MUC6,4.026391132065291,3.7408872797406003,2.245125796679104,52
CD69,4.032472267358983,3.7383584087533346,2.5226829376066577,123
GNLY,4.062081487244933,4.163587944581411,2.2094833177243216,42
LILRA4,4.069386186838132,3.796587259435102,2.218892667116331,51
REXO4,4.072547190571867,3.4219475982006875,2.6249242229365906,204
FOXP3,4.076496405837895,3.2424551847508347,2.7614655694263703,55
CLEC9A,4.082698347481932,3.8842590721375236,2.555451000006524,50
LYPD3,4.091823657471946,3.788767576389226,2.1554867766562014,1254
KLRF1,4.119907595516136,3.1367165411620053,2.812691129034948,119
MPO,4.119978959972444,3.183630559960377,2.6117718246852184,17
BACE2,4.1310829069428685,3.7048029331130143,2.3887277531926268,2750
FOXC2,4.133500263125669,3.7766345152365277,2.2693381547872553,159
SEC24A,4.134830313922222,3.6450163322920743,2.534342165535722,1487
DUSP5,4.135565370020787,3.7551821554712266,2.2671236450252987,1396
FASN,4.138531332120376,3.826493139415142,2.2020502997927163,2321
RHOH,4.141564398484792,3.8796256258886443,2.133476695591714,2461
ELF3,4.14934615477402,3.737383809563203,2.3835491942765596,2534
CLDN4,4.154264948317558,3.85267286708637,2.101843821776965,2788
ERBB2,4.1573305462621795,3.8414025890154484,2.2951288193222497,7121
THAP2,4.158679782553108,3.781607091640656,2.411232001361361,413
SRPK1,4.159520309140633,3.817624807015143,2.3746330935256132,2342
CD247,4.165431411527834,3.6438739259267856,2.6208005216634622,150
CEACAM6,4.166875973342613,3.9005282041389546,2.028170873976331,4838
NOSTRIN,4.169713035042246,3.7980357816898067,2.329466179298641,3136
PCLAF,4.170125755327684,3.814662743096298,2.453346635725472,285
FLNB,4.1704941137197045,3.8775127755805854,2.195342380577958,14661
C15orf48,4.181553631926423,3.84292511420749,2.2472912770794933,2726
GATA3,4.185743705995909,3.907254764819143,2.1949723739006957,36955
CTLA4,4.198852092362781,3.5691967798524393,2.934152726847685,50
TIGIT,4.200806112741806,3.6699247176592484,2.8264586123041853,82
MAP3K8,4.207899160882092,3.7523241808235936,2.515160594865095,1559
STC1,4.227641447349817,3.8403706750192756,2.23561248021761,845
CTH,4.228868489548902,3.8834295739612297,2.3858529684780994,328
APOBEC3B,4.230374084199398,3.788787007679593,2.7583517900179766,269
AR,4.233248862166189,3.8105623956081,2.3601384822575873,1168
CCL20,4.233383463196915,3.9553755221779636,2.4840393268785212,49
NCAM1,4.236660330017109,3.812933098773998,2.504282512284665,43
AGR3,4.242866563000997,4.019486039175677,2.1141631883920082,9720
FOXA1,4.243219433018231,3.9563321675702747,2.179651496894804,10832
TPD52,4.247166824307004,3.9621180863462353,2.1921231781358697,8271
CLIC6,4.250045779729005,3.9629219648932876,2.2204166515022674,5680
CLCA2,4.259668229566235,4.0275657235681495,2.0901083472980493,76
BANK1,4.267266848594776,3.836836030734055,2.5399716767445404,60
OPRPN,4.267980056785727,3.764143697008341,2.136579183617427,51
TFAP2A,4.268940080515183,3.931674088507164,2.2857307614888542,2305
DUSP2,4.271705589306771,4.035565466789772,2.3076330472927538,128
C5orf46,4.272244800752699,3.917836274770593,2.310490830211959,185
EPCAM,4.274981693751824,3.995525609399281,2.1428336715659344,6829
SH3YL1,4.287413717536754,3.9062872256553067,2.3779594646846247,4194
TNFRSF17,4.289456427917907,4.164425359267597,2.3859566057888064,80
BTNL9,4.291111871262033,3.750764159914194,2.602044928954963,448
USP53,4.293827681326938,3.9076360318702013,2.4597399190936873,2344
SCGB2A1,4.296290096638589,3.655382086981233,2.607646463330178,148
MYO5B,4.297042820522622,4.015539068820983,2.218319079093043,2520
CD274,4.299036632808444,3.8731361933808843,2.7937741287151985,136
CD8B,4.312975224118301,3.5124555799639112,3.067029951455859,80
TACSTD2,4.3156885406655485,4.006006698548651,2.215761173985069,25641
UCP1,4.3393952916784135,4.160510736544773,2.5767566835901263,25
SCD,4.3433250465658295,4.0450907536724205,2.245330237166459,5728
CXCL5,4.344373693556931,3.8838536114772464,2.636738353851436,46
FBLIM1,4.353544790090476,3.9010905170744876,2.564430564934709,1395
MDM2,4.367147927172644,3.9997388233892033,2.471893380829085,6959
FSTL3,4.375136006822245,3.9410493087710767,2.6840131395743594,505
DMKN,4.37538509929059,3.936784700418607,2.6230280325448434,422
PELI1,4.385621116983169,4.019772357146839,2.522096028981603,1237
DAPK3,4.386685338658078,3.9409601431106775,2.5220886395443123,466
CLECL1,4.395271642189773,3.6539114225732385,2.4587623384377237,50
SDC4,4.395949834470229,4.107423792675283,2.2483594299050496,6257
ENAH,4.399308862823329,4.007741338306437,2.4764741395133987,6673
QARS,4.4030794127706585,3.96697483201933,2.4885552034506206,3776
CDH1,4.417297269056533,4.101246655059081,2.2879891151577163,3878
PRF1,4.417687844980811,3.7287346602586626,2.437480062007217,94
CCND1,4.418078433744722,4.114547098643307,2.2724859879327095,18718
ANKRD29,4.418815270801164,3.8822521672942902,2.609154117414308,326
CTTN,4.419981819057877,3.9268512235992925,2.678840198097221,5365
ESM1,4.423980849005479,4.162073900115753,2.5181751292085806,179
KRT7,4.42764555153872,4.084114451618147,2.359303809574289,13361
TRIB1,4.429333570503487,3.9300208875056954,2.4817745583856565,751
KRT8,4.431003566370505,4.089235387743889,2.3410233879928333,11004
APOBEC3A,4.433836540435758,4.448059012672114,2.6939312216322255,39
PLD4,4.43448051824543,3.8241307898559604,2.7230193614972875,84
TRAPPC3,4.43813926398149,4.019221857744287,2.496477838201462,2947
KIT,4.44092934426472,3.8923239602802133,2.5166305479728743,625
KLF5,4.445580321603193,4.111368521625799,2.3197580873749186,572
DSC2,4.4476906535854654,4.061614650778852,2.4231264349442605,3080
DSP,4.450414006545033,4.157915535716592,2.2711990260918196,11499
CD9,4.452399053816597,4.113247724272686,2.3263115067200966,6608
JUP,4.464887117176777,4.153656816331268,2.354090177203369,3024
S100A14,4.470446306873468,4.195939661257117,2.2532103987463343,3611
SQLE,4.477175313953938,4.234575739183492,2.2327015300179647,1247
LGALSL,4.48256834604791,4.129820446972672,2.456735443799023,844
CD80,4.483969882280159,3.450373511273714,3.060318713468237,36
EGFL7,4.4869138632433385,3.9336694489487747,3.0738086553556134,179
ADAM9,4.488107946014465,4.045421150860044,2.588684107233176,3144
TENT5C,4.494361907466614,4.133498152712772,2.4858113944506925,1177
CD8A,4.499591355314532,4.051312684043149,2.8247007202152123,332
NARS,4.505595513669319,4.106720095093013,2.513965266147813,5257
HMGA1,4.523667696151507,4.068159425277937,2.542557472093918,1643
ANKRD28,4.537977707300558,4.098516205635135,2.6511864202894166,1283
SOX17,4.5559915623921405,4.08859430312703,2.6578565449237312,181
DST,4.558839037091612,4.167305894639363,2.574630558317204,6393
DNTTIP1,4.55926995149511,4.069105123700531,2.703603861786512,1148
NKG7,4.560148897756014,3.8386424125328555,3.018940433970604,88
AKR1C1,4.563549083400791,3.7996360148295607,3.048069762702215,607
CCPG1,4.563966704513075,4.119027527673853,2.669410006862484,3891
OXTR,4.567175217484249,4.170051653501366,2.3784758769752563,614
CCDC6,4.570865162823984,4.1594400890186085,2.4980476492196524,4220
OCIAD2,4.577718593522064,4.2553060995735805,2.382720962797308,1187
TRAC,4.594931707494452,4.277817880779379,2.407691136834893,1645
PDCD1,4.6031464115781855,3.0087013036903363,3.9318345715007945,8
RAB30,4.6055785230284,4.169948117462039,2.7542467338252483,891
CDC42EP1,4.6172761100100566,3.9314615851455876,2.883649500171751,292
HOXD8,4.626168085433936,4.315350143553792,2.5203424302082786,1152
C2orf42,4.648298644575364,3.98629878029564,2.9041172751629496,236
TIFA,4.648775217660361,4.208328808102545,2.581612112262036,1020
SMS,4.654711393480545,4.207412551442347,2.543454568336259,3926
PIGR,4.662785265639492,4.300751370848969,2.555876926629808,398
CXCR4,4.691539530275031,4.15845838707522,2.689439216402612,583
SMAP2,4.693463967480397,4.208756763833516,2.785772047326289,1701
TMEM147,4.703667123779165,4.2899016861007855,2.629793929486893,2507
ITGAM,4.7045379059330825,4.12458445127717,2.864712929409792,457
TUBB2B,4.705330040794634,4.445625586775662,2.5055302335474314,256
TUBA4A,4.707574602614208,4.378384622044718,2.6098004226667593,1352
VOPP1,4.715027882983724,4.210856441424122,2.7930428404734093,2288
SERPINA3,4.716706249397088,4.330348551939899,2.459723065194528,6965
CCL5,4.716781474267498,4.430667861301798,2.7125320891569262,277
TCIM,4.719195242416624,4.253728735482798,2.63303137585824,1433
TOP2A,4.727975164809185,4.460000031401792,2.446367450408297,510
LIF,4.731811715479723,4.452670158788664,2.8306694764992835,76
SNAI1,4.7379880017761415,4.058623694865967,2.6898679387733897,120
CD79B,4.742150242160121,4.844020441570028,2.4908551696070687,50
GZMA,4.753731639411751,4.090801785509901,2.9117907811849535,201
PGR,4.75715622675023,4.216536669966945,2.6636114536978877,419
SSTR2,4.758006451933634,4.251867039528986,2.8528007172571974,35
FAM107B,4.761291437395065,4.261754531268415,2.8578947098506307,2189
SOX18,4.7859330731383825,4.325152257538022,3.068276425307653,170
CD3G,4.788039167023822,4.315225431245862,2.721215688546102,170
PDK4,4.788605123310547,4.138402157256927,2.92937971816477,1048
CENPF,4.788820859505453,4.447902022615057,2.364315529632305,435
CYTIP,4.7908833958842125,4.3416692527645075,2.8617675188048515,394
HOXD9,4.8110547925433,4.198650844138818,2.7596958769812012,365
PTPRC,4.821783333056926,4.3048370323176375,2.9196756729606377,1327
SEC11C,4.833924647771794,4.3870959645314915,2.704317859323366,1970
EDN1,4.8455173346356615,4.414143612643477,3.179988949814528,108
LTB,4.863332585342315,4.597887962948835,2.5746051542909227,49
KRT15,4.868742277335404,4.4753323013486375,2.740565189420683,1435
PDE4A,4.8875555912706865,4.171023268299004,2.845390536503016,394
SVIL,4.887581080584254,4.198282598959459,3.099529701054709,2906
CD3E,4.894875116433169,4.314418146545265,2.9225943979180387,396
CD3D,4.898473520977169,4.024047584520337,3.1648638736685215,128
ITGAX,4.901573710473738,4.407545455967466,2.8817729381559736,643
KRT16,4.904865290184879,4.626742453349354,2.6500156469052882,575
AQP3,4.912253504260619,4.515859014461707,2.578482347680991,138
GJB2,4.913697495587582,4.401012911051869,2.88892584637174,88
KRT6B,4.917409823765688,4.51322616968335,2.6018723976764764,539
PPARG,4.924004789887421,4.353693124097891,2.868068553375838,589
GPR183,4.934400150767731,4.293086167976482,3.0049693367782666,392
PTRHD1,4.935644006433399,4.722240345425454,2.612921180073167,752
TCEAL7,4.936382512189383,4.165110783547695,3.1301321509633455,162
ACTG2,4.943768859324214,4.506452866779911,2.7009576287048875,3451
EIF4EBP1,4.953397018898262,4.465556230344635,2.7638226275150393,628
SELL,4.98857886571756,3.918211054736955,3.5303488158072494,173
TOMM7,4.999368282232102,4.537021521281664,2.7267149840509917,7801
KRT23,5.01045952122458,4.585032513627142,2.6315187380757594,1025
IL7R,5.022295394135286,4.41671912430701,3.080162192915432,480
PRDM1,5.052959238306719,4.488331660562684,2.929340299853987,403
LPXN,5.054357604685618,4.31419056276502,3.191170359022002,775
MMP1,5.059338566042319,4.0536180354262665,3.6578614039012622,95
AKR1C3,5.071251285605654,4.459378715791997,3.2291102343702764,296
KRT14,5.079581812499021,4.739228592839553,2.5784060516170237,2741
KLRB1,5.09959845398492,4.512918250722819,3.3266630369020476,249
PTN,5.109614609930357,4.523767605017999,2.873683431093809,1585
CLEC14A,5.112967468913561,4.658375567074485,2.801230536505805,750
CD83,5.113753841365039,4.294267608051013,3.242830934498926,450
ADGRE5,5.118629957565891,4.78112291151464,2.8653868270476655,466
KDR,5.123510967241645,4.731446746721953,2.7813726595593984,603
TCF7,5.132595808675531,4.6478547434954995,3.067063461788764,299
MYLK,5.132799920467707,4.778330237819048,2.6780368291324845,5033
ACTA2,5.144141734922555,4.743164109771092,2.782321394434165,8032
SPIB,5.151196214161428,4.8926024932208225,2.6329576283922234,88
CD27,5.158283930766699,4.760673527065933,2.916020619840728,93
CRHBP,5.1668342069802495,4.0369922461515095,3.970973085722373,5
NPM3,5.167745316960209,4.826011008291337,2.9447254295414504,169
KRT5,5.168258269546949,4.868473093463585,2.6064000320793848,1584
AVPR1A,5.190500169416932,4.680591753047883,2.820792168256913,113
CD1C,5.199696457687721,4.613143399423443,3.18858997402765,322
NDUFA4L2,5.199841640293275,4.285185543128003,3.026727573987169,50
MKI67,5.213680962498446,4.0470274197870815,3.2866063064426565,101
WARS,5.218648863119163,4.724563989292694,2.9062682238606574,1520
CX3CR1,5.222314595536677,4.927135374778146,3.0058684237763185,459
LEP,5.2235626478927415,4.758772877852711,3.1403220036047736,37
EGFR,5.258054722546113,4.801132453938272,3.0049703711540205,955
MYH11,5.2608073872806225,4.8701411601230635,2.767502545678,1463
HAVCR2,5.2706856221082266,4.6111072756275,3.1455103955020403,622
IL2RG,5.277100439316965,4.680085404008923,3.0188684142090922,327
MMRN2,5.301333814804737,4.920098380682066,2.9481903848310664,571
KARS,5.304550871201438,4.8095534404864,2.935299238775033,854
CCR7,5.309352904033941,5.2856942618409954,2.99810071844659,85
PDCD1LG2,5.338241111870612,5.061460765905819,2.9356686067581124,93
RAMP2,5.351267587349584,4.664287301343748,3.0904053399596654,668
EDNRB,5.359033280063956,4.7701331320051885,3.245948603125096,450
CD14,5.359721925140826,4.718104783743154,3.133208950450906,1322
SERPINB9,5.366102959367174,5.002234212490269,3.147084436930997,580
FCGR3A,5.373621003528702,4.756431737091757,3.150630999660794,413
ANGPT2,5.391973134583274,5.026641124019674,3.0386395146333105,232
SLAMF7,5.408159654586571,4.75472147210325,3.294883561928557,361
CAV1,5.4084739579327366,5.048982380171754,2.838174384575107,1809
