,0_names,0_pvals,1_names,1_pvals,2_names,2_pvals,3_names,3_pvals,4_names,4_pvals,5_names,5_pvals,6_names,6_pvals,7_names,7_pvals,8_names,8_pvals,9_names,9_pvals,10_names,10_pvals,11_names,11_pvals,12_names,12_pvals,13_names,13_pvals,14_names,14_pvals,15_names,15_pvals,16_names,16_pvals,17_names,17_pvals,18_names,18_pvals
0,ANKRD30A,0.0,LUM,0.0,ANKRD30A,0.0,TACSTD2,0.0,LUM,0.0,FCER1G,0.0,SERPINA3,0.0,AQP1,0.0,ACTA2,0.0,CD3E,0.0,CCDC80,0.0,TOP2A,0.0,CPA3,0.0,TENT5C,0.0,MYLK,1.633025682966666e-277,LYZ,3.6807628715204377e-20,NOSTRIN,0.01664403585160814,SERPINA3,0.013165763469061625,MLPH,0.02731313185378902
1,SERPINA3,0.0,POSTN,0.0,MLPH,0.0,SERPINA3,0.0,TACSTD2,0.0,CX3CR1,0.0,TACSTD2,0.0,PECAM1,0.0,MYH11,0.0,TRAC,0.0,ADH1B,0.0,CENPF,0.0,TPSAB1,0.0,SLAMF7,0.0,DST,9.895391269330514e-218,KRT8,3.4182254976109743e-18,TMEM147,0.026063548836713687,ENAH,0.028632690982559873,HMGA1,0.03956258966408228
2,ESR1,0.0,SFRP4,0.0,ESR1,0.0,GATA3,0.0,ANKRD30A,0.0,CD4,0.0,GATA3,7.419497212146194e-229,CD93,0.0,CAV1,0.0,CCL5,0.0,CXCL12,0.0,ANKRD30A,0.0,KIT,0.0,SEC11C,0.0,ACTA2,7.943862913185177e-204,PIGR,1.6282701151465898e-14,TPD52,0.03373797991719223,TACSTD2,0.030999075789785044,AGR3,0.04808312673624958
3,MLPH,0.0,MMP2,0.0,CCND1,0.0,FOXA1,0.0,GATA3,0.0,CD68,0.0,TPD52,2.940429824872607e-174,CLEC14A,0.0,MYLK,0.0,PTPRC,0.0,LPL,0.0,MKI67,0.0,LUM,4.484399845742147e-289,MZB1,0.0,KRT14,4.034134978354102e-176,S100A8,9.914360224736041e-12,RUNX1,0.03499642441245794,FOXA1,0.04916025924325289,PGR,0.04837138866994471
4,TACSTD2,0.0,FBLN1,0.0,GATA3,0.0,DSP,0.0,POSTN,0.0,FCGR3A,0.0,CCND1,7.419629762392292e-52,VWF,0.0,PECAM1,0.0,CD8A,0.0,ADIPOQ,0.0,ESR1,0.0,ZEB2,2.394041387651596e-178,ITM2C,0.0,KRT7,1.9696298206942545e-166,MMP1,8.626192144165679e-10,CCND1,0.03755564637325516,QARS1,0.05574505347623453,GLIPR1,0.10745350195350266
