Combination,Silhouette
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.00945507362484932
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.004262959584593773
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_louv,0.0012264094548299909
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_louv,-0.0033959841821342707
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.00842095073312521
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_louv,-0.011154575273394585
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.013762025162577629
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.01609085313975811
DEFAULT_louv,-0.0163955707103014
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.026222512125968933
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.03292634338140488
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_louv,-0.040597058832645416
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_louv,-0.0429513081908226
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.05021972209215164
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_louv,-0.06967509537935257
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_louv,-0.14178921282291412
