Combination,Accuracy_ARI
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.03396213921279273
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.03396213921279273
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_leid,0.029995039551009375
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_louv,0.029995039551009375
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.017130377108361156
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.017130377108361156
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_louv,0.014986153986985115
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_leid,0.014986153986985115
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.004874588611627795
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.004874588611627795
DEFAULT_leid,0.0033451728713280704
DEFAULT_louv,0.0033451728713280704
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.0020448413218120427
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.0020448413218120427
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.0014414143320917144
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.0014414143320917144
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_leid,0.0008334918200526522
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.0008334918200526522
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_louv,0.0006212013523814877
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_leid,0.0006212013523814877
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_leid,-0.0018345098744167233
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_louv,-0.0018345098744167233
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.0021883923164051425
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,-0.0021883923164051425
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_leid,-0.003378708301897982
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_louv,-0.003378708301897982
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_leid,-0.0036660061238618495
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_louv,-0.0036660061238618495
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.006027398181889428
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_leid,-0.006027398181889428
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_leid,-0.00817926266157925
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_louv,-0.00817926266157925
